Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[sample id]	Characteristics[animal id]	Characteristics[organism]	Characteristics[genotype]	Characteristics[disease]	Characteristics[strain]	Characteristics[sex]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism]	Factor Value[organism part]
Sample 12	ERS1935407	SAMEA104310429	199_13	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	brain	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 12	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 12	sequencing assay	ERX2187466	199_13_GGCTAC_L005_R1_001.fastq.gz	199_13_GGCTAC_L005_R1_001.fastq.gz	ERR2130614	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/004/ERR2130614/ERR2130614.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	brain
Sample 25	ERS1935408	SAMEA104310430	199_26	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	brain	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 25	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 25	sequencing assay	ERX2187467	199_26_TTAGGC_L007_R1_001.fastq.gz	199_26_TTAGGC_L007_R1_001.fastq.gz	ERR2130615	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/005/ERR2130615/ERR2130615.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	brain
Sample 38	ERS1935409	SAMEA104310431	199_39	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	brain	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 38	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 38	sequencing assay	ERX2187468	199_39_ACTGAT_L008_R1_001.fastq.gz	199_39_ACTGAT_L008_R1_001.fastq.gz	ERR2130616	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/006/ERR2130616/ERR2130616.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	brain
Sample 19	ERS1935410	SAMEA104310432	199_20	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	colon	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 19	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 19	sequencing assay	ERX2187469	199_20_TAGCTT_L006_R1_001.fastq.gz	199_20_TAGCTT_L006_R1_001.fastq.gz	ERR2130617	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/007/ERR2130617/ERR2130617.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	colon
Sample 32	ERS1935411	SAMEA104310433	199_33	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	colon	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 32	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 32	sequencing assay	ERX2187470	199_33_ATCACG_L008_R1_001.fastq.gz	199_33_ATCACG_L008_R1_001.fastq.gz	ERR2130618	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/008/ERR2130618/ERR2130618.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	colon
Sample 7	ERS1935412	SAMEA104310434	199_7	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	colon	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 7	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 7	sequencing assay	ERX2187471	199_7_ACTGAT_L004_R1_001.fastq.gz	199_7_ACTGAT_L004_R1_001.fastq.gz	ERR2130619	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/009/ERR2130619/ERR2130619.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	colon
Sample 16	ERS1935413	SAMEA104310435	199_17	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	duodenum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 16	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 16	sequencing assay	ERX2187472	199_17_ATCACG_L006_R1_001.fastq.gz	199_17_ATCACG_L006_R1_001.fastq.gz	ERR2130620	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/000/ERR2130620/ERR2130620.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	duodenum
Sample 29	ERS1935414	SAMEA104310436	199_30	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	duodenum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 29	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 29	sequencing assay	ERX2187473	199_30_GAGTGG_L007_R1_001.fastq.gz	199_30_GAGTGG_L007_R1_001.fastq.gz	ERR2130621	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/001/ERR2130621/ERR2130621.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	duodenum
Sample 4	ERS1935415	SAMEA104310437	199_4	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	duodenum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 4	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 4	sequencing assay	ERX2187474	199_4_TAGCTT_L004_R1_001.fastq.gz	199_4_TAGCTT_L004_R1_001.fastq.gz	ERR2130622	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/002/ERR2130622/ERR2130622.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	duodenum
Sample 11	ERS1935416	SAMEA104310438	199_12	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	esophagus	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 11	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 11	sequencing assay	ERX2187475	199_12_TAGCTT_L005_R1_001.fastq.gz	199_12_TAGCTT_L005_R1_001.fastq.gz	ERR2130623	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/003/ERR2130623/ERR2130623.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	esophagus
